id;question;reponseA;reponseB;reponseC;bonne_reponse;theme;difficulte
1;Combien font 4 + 5 ?;8;9;10;B;maths;facile
2;Combien font 10 - 3 ?;6;7;8;B;maths;facile
3;Combien font 6 + 8 ?;12;13;14;C;maths;facile
4;Combien font 12 - 7 ?;6;5;4;B;maths;facile
5;Combien font 3 x 4 ?;9;15;12;C;maths;facile
6;Combien font 2 x 5 ?;10;8;12;A;maths;facile
7;Combien font 20 + 10 ?;25;30;35;B;maths;facile
8;Combien font 15 - 5 ?;12;8;10;C;maths;facile
9;Combien font 7 x 6 ?;36;42;48;B;maths;moyen
10;Combien font 48 + 26 ?;72;76;74;C;maths;moyen
11;Combien font 90 - 37 ?;53;57;50;A;maths;moyen
12;Combien font 8 x 9 ?;64;81;72;C;maths;moyen
13;Combien font 120 - 45 ?;70;75;80;B;maths;moyen
14;Combien font 6 x 8 ?;42;54;48;C;maths;moyen
15;Combien font 63 + 19 ?;82;81;83;A;maths;moyen
16;Combien font 100 - 28 ?;70;74;72;C;maths;moyen
17;Combien font 12 x 8 ?;88;96;108;B;maths;difficile
18;Combien font 144 / 12 ?;11;14;12;C;maths;difficile
19;Combien font 25 x 4 ?;90;80;100;C;maths;difficile
20;Combien font 96 / 8 ?;14;12;10;B;maths;difficile
21;Combien font 18 x 6 ?;112;102;108;C;maths;difficile
22;Combien font 150 - 67 ?;87;80;83;C;maths;difficile
23;Combien font 45 x 2 ?;85;100;90;C;maths;difficile
24;Combien font 200 / 10 ?;25;20;15;B;maths;difficile
25;Quel est le sujet dans la phrase : "Le chat dort" ?;dort;la souris;Le chat;C;francais;facile
26;Quel est le verbe dans la phrase : "Il mange une pomme" ?;Il;une pomme;mange;C;francais;facile
27;Combien y a-t-il de syllabes dans le mot "maison" ?;3;2;1;B;francais;facile
28;Quel est le féminin de "petit" ?;petit;petits;petite;C;francais;facile
29;Quel est le pluriel de "cheval" ?;chevals;chevaux;chevalles;B;francais;facile
30;Quel est le contraire de "grand" ?;mince;court;petit;C;francais;facile
31;Quel est le déterminant dans la phrase : "Le chien court" ?;chien;Le;court;B;francais;facile
32;Quel est le pluriel de "livre" ?;livre;livres;livrons;B;francais;facile
33;Quelle est la nature du mot "rapidement" ?;adjectif;verbe;adverbe;C;francais;moyen
34;Quel est le temps du verbe "mangeait" ?;passé composé;imparfait;futur;B;francais;moyen
35;Quel est le sujet dans : "Nous jouons dehors" ?;jouons;dehors;Nous;C;francais;moyen
36;Quel est le synonyme de "content" ?;triste;heureux;fâché;B;francais;moyen
37;Quel est le contraire de "difficile" ?;facile;simple;compliqué;A;francais;moyen
38;Quel est le verbe dans : "Ils courent vite" ?;Ils;vite;courent;C;francais;moyen
39;Quel est le féminin d'un "acteur" ?;actrice;acteure;acteurs;A;francais;moyen
40;Quel est le pluriel d'un "animal" ?;animal;animaux;animales;B;francais;moyen
41;Quelle est la nature du mot "courageux" ?;nom;adjectif;verbe;B;francais;difficile
42;Quel est le temps du verbe "avait mangé" ?;plus-que-parfait;passé composé;imparfait;A;francais;difficile
43;Quel est le complément d'objet dans : "Il lit un livre" ?;Il;un livre;lire;B;francais;difficile
44;Quel est le contraire d'"inutile" ?;important;valable;utile;C;francais;difficile
45;Quel est le synonyme de "rapide" ?;lent;vite;lentement;B;francais;difficile
46;Quelle est la nature du mot "maison" ?;nom;verbe;adjectif;A;francais;difficile
47;Quel est le pluriel de "journal" ?;journaux;journals;journale;A;francais;difficile
48;Quel est le verbe dans : "La pluie tombe fort" ?;tombe;pluie;fort;A;francais;difficile
49;Qui était roi de France pendant la Révolution ?;Louis XV;Napoléon;Louis XVI;C;histoire;facile
50;En quelle année commence la Révolution française ?;1790;1789;1776;B;histoire;facile
51;Qui a découvert l'Amérique en 1492 ?;Vasco de Gama;Marco Polo;Christophe Colomb;C;histoire;facile
52;Dans quel pays se trouvent les pyramides de Gizeh ?;Grèce;Égypte;Italie;B;histoire;facile
53;Comment s'appelle la période des châteaux forts ?;Moyen Âge;Renaissance;Antiquité;A;histoire;facile
54;Qui était le premier empereur des Français ?;Napoléon Bonaparte;Louis XIV;Charlemagne;A;histoire;facile
55;Quel était le nom de la France à l'époque des Gaulois ?;Rome;La Gaule;Espagne;B;histoire;facile
56;Comment s'appellent les habitants de la Rome antique ?;Les Romains;Les Romulus;Les Grecs;A;histoire;facile
57;En quelle année a eu lieu la prise de la Bastille ?;1789;1790;1776;A;histoire;moyen
58;Qui était Jeanne d'Arc ?;Une reine;Une héroïne française;Une guerrière anglaise;B;histoire;moyen
59;Quel peuple a construit les pyramides ?;Les Romains;Les Grecs;Les Égyptiens;C;histoire;moyen
60;Quel roi a fait construire le château de Versailles ?;Louis XIV;Louis XVI;Henri IV;A;histoire;moyen
61;Quelle guerre a eu lieu de 1914 à 1918 ?;Première Guerre mondiale;Seconde Guerre mondiale;Guerre de Cent Ans;A;histoire;moyen
62;Qui était Charlemagne ?;Un roi;Un général;Un empereur;C;histoire;moyen
63;Quel était le nom de Paris à l'époque gallo-romaine ?;Lutèce;Paris;Marseille;A;histoire;moyen
64;Quel groupe social vivait dans les châteaux forts ?;Les paysans;Les seigneurs;Les rois;B;histoire;moyen
65;En quelle année Napoléon est-il devenu empereur ?;1810;1799;1804;C;histoire;difficile
66;Quel était le nom de Paris dans l'Antiquité ?;Parvis;Lutétia;Lutèce;C;histoire;difficile
67;Quel peuple a envahi la Gaule au Ve siècle ?;Les Francs;Les Gaulois;Les Vikings;A;histoire;difficile
68;Comment s'appelle le régime politique avant 1789 ?;La République;La monarchie absolue;L'Empire;B;histoire;difficile
69;Qui était le roi des Francs baptisé à Reims ?;Clovis;Charlemagne;Louis XVI;A;histoire;difficile
70;Quelle période historique suit le Moyen Âge ?;Les Temps modernes;La Renaissance;L'Antiquité;A;histoire;difficile
71;Qui a signé l'Édit de Nantes en 1598 ?;Henri IV;Louis XIV;Napoléon;A;histoire;difficile
72;Quelle guerre oppose Français et Anglais au Moyen Âge ?;Première Guerre mondiale;La guerre de Cent Ans;Guerre de Troie;B;histoire;difficile
73;Comment dit-on "bonjour" en anglais ?;Hi;Hello;Hey;B;anglais;facile
74;Comment dit-on "merci" en anglais ?;Thank;Thanks;Thank you;C;anglais;facile
75;Comment dit-on "chat" en anglais ?;Cat;Dog;Rat;A;anglais;facile
76;Comment dit-on "chien" en anglais ?;Dog;Cat;Puppy;A;anglais;facile
77;Comment dit-on "rouge" en anglais ?;Red;Blue;Green;A;anglais;facile
78;Comment dit-on "bleu" en anglais ?;Blue;Red;Yellow;A;anglais;facile
79;Comment dit-on "un" en anglais ?;One;Two;Three;A;anglais;facile
80;Comment dit-on "manger" en anglais ?;To eat;To drink;To play;A;anglais;facile
81;Comment dit-on "école" en anglais ?;House;School;Classroom;B;anglais;moyen
82;Comment dit-on "maison" en anglais ?;House;Home;Building;A;anglais;moyen
83;Comment dit-on "jouer" en anglais ?;To work;To run;To play;C;anglais;moyen
84;Comment dit-on "livre" en anglais ?;Paper;Book;Story;B;anglais;moyen
85;Comment dit-on "courir" en anglais ?;To walk;To run;To jump;B;anglais;moyen
86;Comment dit-on "parler" en anglais ?;To listen;To say;To speak;C;anglais;moyen
87;Comment dit-on "jaune" en anglais ?;Red;Yellow;Green;B;anglais;moyen
88;Comment dit-on "noir" en anglais ?;White;Grey;Black;C;anglais;moyen
89;Comment dit-on "apprendre" en anglais ?;To learn;To study;To teach;A;anglais;difficile
90;Comment dit-on "travailler" en anglais ?;To play;To work;Job;B;anglais;difficile
91;Comment dit-on "toujours" en anglais ?;Never;Often;Always;C;anglais;difficile
92;Comment dit-on "jamais" en anglais ?;Never;Always;Rarely;A;anglais;difficile
93;Comment dit-on "rapidement" en anglais ?;Slowly;Fast;Quickly;C;anglais;difficile
94;Comment dit-on "lentement" en anglais ?;Slowly;Quickly;Gradually;A;anglais;difficile
95;Comment dit-on "pourquoi" en anglais ?;Because;Why;What;B;anglais;difficile
96;Comment dit-on "parce que" en anglais ?;Because;So;Why;A;anglais;difficile
